en	kw
You live in Barcelona.	Trigys os ta yn Barcelona.
May peace guard the door of your house and the door of your heart	Kres re wittho daras a'th (a’gas) chi ha daras a'th kolon (a’gas kolonnow).
Processing Fee	Fe Dyghtya
These are meant to take account of how Cornish is actually spoken while at the same time preserving the aspiration of speakers and learners to stay true to the distinct ‘Cornish’ sound of the language.	An re ma yw towlennys dhe vires war an fordh mayth yw Kernewek kewsys yn hwir mes y’n kettermyn gwitha gwaytyans kowsoryon ha dyskoryon dhe wortos gwir dhe son ‘kernewek’ diblans an taves.
The super(sonic) powers of the hedgehog	Gallosow (gor)sonek an sort
This is my home	Homm yw ow thre
Magazines and newsletters, printed pamphlets and programmes can all give an insight into leisure pursuits in Cornwall.	Lyvrow termyn ha lytherow nowodhow, folenigow pryntys ha towlennow, oll an re ma a yll ri golok orth gwriansow diskwithans yn Kernow.
You're in the shop.	Yth esos ta yn gwerthji.
Clarence Road was known as Rope Walk.	Aswonys o Fordh Clarence avel Kerdhva Lovan.
The Review also proposed a new delivery structure, aiming to clarify roles, develop capacity and place a greater leadership role for the language on Cornwall Council.	An Dhaswel a brofyas ynwedh framweyth nowydh rag delivrans, ow medra klerhe rannow, displegya dalghuster ha ri dhe Gonsel Kernow rann ledyer brassa a-barth an yeth.
Rise, and Rise again,	Omsevewgh, hag Omsevewgh arta,
We can go to the beach because the weather is good.	Ni a yll mos dhe'n treth drefen bos an gewer da.
Supporting Cornwall's aerospace and space sector continue to grow.	Skoodhya ayrefanvos ha ranngylgh efanvos Kernow a bes dhe devi.
They can go to university if they want to study.	I a yll mos dhe bennskol mar mynnons i studhya.
Economy and Skills Service	Gonis Erbysiedh ha Sleynethow
All skill levels welcome	Pub nivel sleyneth yw wolkom
Scottish Parliament imposed a levy on large supermarkets, in order to support town centres and small shops. (2012)	Senedh Alban a veghyas ardoll war worvarghasow bras, rag skoodhya kres trevow ha gwerthjiow byghan. (2012)
Yes. I want to drink milk.	Mynnav. My a vynn eva leth.
We must all wage war against wickedness.	Res vydh dhe bubonan ahanan gwerrya orth drokter.
You like to learn history at school.	Da yw genowgh dyski istori y’n skol. 
No. I am not cold.	Nag ov. Nyns ov vy yeyn.
There now are short films of 5 songs in Cornish on the Lowender Peran website.	Yma fylmow berr a 5 kan yn Kernewek war wiasva Lowender Peran y’n eur ma. 
Do you go by tram?	Hwi a yn tramm.
St Ives and Carbis Bay	Porthia ha Porthreptor
Insert library card into the card reader.	Gorrewgh karten lyverva a-bervedh y’n redyer karten.
You can sleep when the baby sleeps.	Ty a yll koska pan gosk an baban.
To be joyful	Bos heudh
Your dad says that grandpa and granny spend too much.	Dha das a lever tas-gwynn ha mamm-wynn dhe spena re.
Renew	Nowydhhe
Their house is big!	Aga chi yw bras!
5. At a restaurant (1)	5. Dhe Vosti
Yes. I surf every day.	Gwrav. My a wra mordardha pub dydh.
Have they got a radio?	Eus radyo dhedha?
Keep your dog under effective control to make sure it stays away from wildlife, livestock, horses and other people unless invited.	Gwrewgh maystri effeythus war agas ki dhe vos sur ev dhe avoydya godhvewnans, bestes, mergh ha tus erel mar na vo gelwys.
Exit the churchyard and go straight to the Market House across the road.	Gesewgh an gorflan ha kewgh yn kompes dhe Ji an Varghas a-dreus an fordh.
Chief Executive and Creative Director	Pennweythresek ha Lewydh Awenek
Yes. We were drinking too much beer.	Esen. Yth esen ni owth eva re a gorev.
Are they playing tennis?	Esons i ow kwari tennis?
Have we got a pig at home?	Eus hogh genen tre?
AUDIO DESCRIBER	DESKRIFER HEGLEW
Cross the Tamar Bridge on the A38 at Plymouth – you are now in Cornwall.	Treusewgh Pons an Tamar war an A38 orth Aberplymm - yth esowgh lemmyn yn Kernow.
2020 (formal)	dew vil hag ugens
Do you like shopping?	Yw da genowgh prenassa?
Tomorrow at 10 o'clock.	A-vorow dhe dheg eur.
Yarg farmers 	Tiogow yarg
Minor Planet	Planet Le
Our community in clay	Agan kemeneth yn pri
Open Gardens 2023	Lowarthyow Ygor 2023
Will we get paid for overtime?	A vedhyn ni peys rag gordermyn?
Aglets	Greun Spernen
Each year every Hub has to draw up a plan and budget which sets out how they intend to deliver the roles in their area.	Pub bledhen, res yw dhe bub Both desina towl ha towlargh hag a dhiskwedh fatel yntendyons i delivra an rannow y'ga ranndir.
To enable Cornwall and the Isles of Scilly to become a productive place we plan to change long held negative connotations about our region and use them as future advantages.	May hyllyn gallosegi Kernow ha Syllan dhe dhos ha bos le askorrus yth yw war agan towl chanjya konnotyansow negedhek hir-synsys a-dro dh’agan ranndir ha’ga usya avel prowyow devedhek.
They would like to pick up a parcel from Germany.	I a vynnsa kuntel fardel a-dhyworth Almayn.
Sound Design	Desinor Son
He kept this delightful autograph book while a prisoner of war at Wahmbeck in Germany.	Ev a lenwis an lyver omsinans hweg-oll ma hag ev prisner bresel orth Wahmbeck yn Almayn.
Rt Hon Damian Green MP, DCMS Committee Acting Chair, said: “Travellers taking a trip through the British Isles a few centuries ago would have heard a rich array of languages and dialects from Norn in the far north to Cornish in the south west.	"An Gwir Wordhi Damian Green ES, Kaderyer Servadow an Kessedhek BGMS, a leveris: ""Tremenysi ow kul viaj dres an Enesow Bretennek nans yw nebes kansbledhynnyow a woslowi kuntel rych a yethow ha rannyethow dhyworth Norn y'n north pell bys yn Kernewek y'n soth west."
We disagree.	Nyns on ni akordys.
I have got a lump there.	Yma bothen dhymm ena.
You told me where the bar is.	Ty a leveris dhymm le may ma'n barr.
Do I want to watch the film?	A vynnav vy mires orth an fylm?
This strategy aims to build on the work of the organisations promoting a fair food system, active environments and mental wellbeing, all of which contribute to achieving health creation and our residents having a healthier weight for our population.	An strateji ma a veder drehevel war ober an kowethyansow a avons system boos resnadow, kerghynedhow bewek ha sewena brysel, pub anedha ow kevri dhe kowlwul yeghes ha dhe vos poos yaggha dh’agan trigoryon rag agan poblans.
He brought enslaved people back to Penzance as his servants, dressed in full livery	Y tros ev tus gethheys dhe Bennsans avel y servysi, gwiskys yn unform leun
Please push the stop button to alight here.	Gweskewgh an boton-hedhi mar pleg dhe dhiyskynna omma.
What is the inscription on the town's coat of arms?	Pyth yw an gravyans war gota arvow a'n dre?
Do you want to play in the garden?	A vynn'ta gwari y'n lowarth?
An item being included in the inventories does not automatically mean there is any responsibility or obligation from any organisation, body or government to directly support that item.	Ny styr yn awtomatek komprehendyans a dra y'n rolyow gwara  bos charj po ambos dyworth neb kowethyans, korf po governans dhe skoodhya yn syth an dra na.
We have a large parking and transport system to run and car park income plays an important part in supporting these, but we also recognise that car parking plays a wider role in supporting local economies, managing traffic and helping communities to thrive.	Yma genen ni system parkya ha karyans dh’y dhyghtya ha rent parkow kerri a wari rann bosek ow skoodhya an re ma, mes ni a aswon ynwedh parkya kerri dhe wari rol ledanna ow skoodhya erbysiedhow leel, dyghtya daromres ha gweres kemenethow dhe seweni.
Portcullis and drawbridge	Slynkborth ha tennbons
This expertise has led to a number of EU grants for groundbreaking projects such as:	An sleyneth ma re ledyas dhe grontow divers dhyworth an UE rag ragdresow aventurus kepar ha:
Cornish Minority Status (Framework Convention)	Savla Minoryta Kernewek (Akordyans Framweyth)
Yes. I do eat pasty.	Gwrav. My a wra dybri pasti.
Brittany Tour	Torn Breten Vyghan
Rugby ball	Pel rugbi
Yes. You do drink red wine.	Gwredh. Ty a wra eva gwin rudh.
Our values	Agan talvosogethow
OK. An ambulance is on its way and will be with you soon.	Da lowr. Yma karr klavji war'n fordh hag a vydh genowgh yn skon.
I think she might be pregnant.	My a dyb martesen hi dhe vos gans flogh.
White mountains	Menydhyow gwynn
You drink cider.	Hwi a wra eva cider.
This plan explains how we will deliver.	An dowl ma a glerha fatel wren ni delivra.
Have we got a TV?	Eus pellwolok dhyn?
Upcountry folk 	Tus dres an Tamar
You learn English. You are learning English.	Ty a wra dyski Sowsnek. Yth esos ta ow tyski Sownsnek.
My hat is yellow.	Ow hatt yw melyn.
Island view	Gwel an enys
Railway Station	Gorsav Hyns Horn
Moonrise	Lordrevel
You said that the preacher danced on the table.	Ty a leveris an pronter dhe dhonsya war an voos.
Discover St Austell – Landmark wording	Diskudhewgh S. Austel - Geryans tirnos
Read Sentences	Lennewgh Lavarow
Do you have locally produced food?	Eus boos askorrys yn leel omma?
You're a teacher.	Dyskader os ta.
The portico came from a manor house in Padstow – the owner, Padstow’s Town Mayor and Harbourmaster, unfortunately went bankrupt and his manor house was taken apart stone by stone.	An porth a dheuth dhyworth manerji yn Lannwedhenek - an perghen, Mer ha Mester an Porth Lannwedhenek, a dheuth ha bos skatt soweth ha y vanerji a veu diswrys men wosa men.
Production Designer	Desiner Askorrans
Our Chairman’s Welcome – Bruce O’Brien	Dynnargh agan Kaderyer – Bruce O’Brien
Space to grow	Spas rag tevi
This play – ‘The Case or the Cause Prejudged’ - was performed at the ‘Theatre Royal’ in Redruth in June 1837 and names the actors and the roles they played.	An gwari ma - 'An Kas po an Kaws Ragvreusys' - a veu performys y'n 'Theatre Royal' yn Resrudh mis Metheven 1837 hag yth henow an warioryon ha'n rannow a warisons.
You’re Not Forgotten	Nyns os ta Ankevys
You don’t work here anymore.	Ny wre'ta oberi omma namoy.
No. We haven't worked in a cinema.	Na wrussyn. Ny wrussyn ni oberi yn cinema.
He was made Senior Wrangler, the highest maths award at Cambridge University. (AM/640)	Apoyntys veu Chif Strivyer, an ughella pewas mathematik dhe Bennskol Kargront. (AM/640)
Louis did not see combat and was later employed to bolster troop morale, he fought in over 90 exhibition matches before over two million troops, and also donated over $100,000 to Army and Navy relief funds.	Nyns eth Louis dhe vatel hag ev a veu arvethys diwettha rag krefhe spyrys an mayniow. Ev a gestrivyas yn moy ages 90 fytt diskwedhyans a-dherag moy ages diw vilvil a soudoryon, hag ev a argevros ynwedh moy ages $100,000 dhe arghasow difres Lu ha Morlu.
I’m particularly proud to welcome Jesus Christ Superstar in 2024.	Gothus yn arbennik ov dhe dhynerghi Yesu Krist Gorsteren yn 2024.
This slip was then desaturated in the Clay Driers outside, before returning to the Clay Room to be pugged in the pug mill to further mix the clay and remove air pockets.	An pri-lin ma a vedha deseghys yn-mes yn Seghadoryon Pri, kyns dehweles dhe'n Stevel Bri dhe vos kemyskys y'n velin bri, rag myska pella an pri ha removya pocketys ayr.
You were dancing.	Yth eses ta ow tonsya.
Welcome to Saltash	Essa a'gas dynnergh
You are playing tennis.	Yth esowgh hwi ow kwari tennis.
Further, both participants strongly anticipate that mutually beneficial relationships between Cornwall and Wales will continue to flourish in areas not covered by this Agreement.	Pella, an dhew gevrennek a ragwel yn krev keskowethyansow keslesek yntra Kernow ha Kembra dhe besya dhe floryshya yn materyow nag yw synsys y'n Akord ma.
Social	Socyal
Schools in the area will be teaching Cornish through the coming term and classes for adults will be held in the Barley Sheaf every Tuesday for a taste of Cornish language and to learn some songs as well.	Y fydh skolyow y’n ranndir ow tyski Kernewek dres an trimis a dheu ha klassow rag tevesigyon y’n Barley Sheaf pub dy'Meurth rag blas a Gernewek ha dyski nebes kanow keffrys. 
Hint: look for the brewery).	Kussul: hwilewgh an bragji.)
TOILETS	PRIVEDHYOW
The synagogue at Plymouth holds records dating from the 18th century.	An synaga dhe Aberplymm a syns kovadhow dhyworth an 18ves kansbledhen.
Research and Innovation	Hwithrans ha Nowedhyans
The scripts’ survival is as remarkable as the miracles performed by the saints within.	Mar varthys yw treusvewans an skrifedhow avel an marthusyon gwrys gans an sens ynna.
You like the book by Morwenna but you prefer the book by Peder.	Da yw genowgh an lyver gans Morwenna mes gwell yw genowgh an lyver gans Peder.
Cornwall Pride	Gooth Kernow
CIRCLE, SEATS 21-49	KYLGH, ESEDHOW 21-49
I’ll check it straight away.	My a wra y jeckya distowgh.
No. They didn’t eat the potato.	Na wrussons. Ny wrussons i dybri an aval dor.
Have we read books about history?	A wrussyn ni redya lyvrow a-dro dhe istori?
We need to understand the value of the “natural capital” of the Cornwall AONB and get serious about investing in nature.	Yma edhom dhyn a gonvedhes bri “chatel naturek” RDNV Kernow ha dos ha bos sad a-dro dhe gevarghewi y’n natur.
the opening of the Museum of Carefree exhibition	Ygeryans an Diskwedhyans Museum of Carefree
Liskeard	Lyskerrys
I want to see a specialist.	My a vynn gweles arbeniger.
You are handsome.	Teg owgh hwi.
The mineral lord or landowners of the mine were paid their dish or ground rent, whatever the state of the mine finances, unless a settlement was agreed with them.	Kevren a dalvosogeth an moon po rent an dor a vedha tylys dhe arlodh an moon po perghenogyon an tir, pynag a vo studh arghansek an bal, marnas mar peu akord gwrys gansa.
Bernard Leach decorating a bottle with hakeme slip.	Bernard Leach owth afina bottel gans pri-lin hakeme.
Yes. We can put them on the table.	Gyllyn. Ni a yll aga gorra war an voos.
Do you smoke?	A wre'ta megi?
We’ll travel these ways together	War-barth y lavuryn ni an fordhow ma a-hys
